duration,input.all_possible_pgsm_times,input.doc_id,input.lowercase_sentence,input.sentence,input.sentence_id,input.time_expressions,job,output.selectedtags_desc,output.selectedtags_desc.annotations,output.selectedtags_desc.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,validated_time,no_of_annotations,validated_time_final_score,validated_time_initial_score,Experts
91.55,1984__19__23###last June__75__84###1953__40__44###June__80__84,bbc_20130322_1150,"the last british climbing member of the 1953 team , mike westmacott , died last june .","The last British climbing member of the 1953 team , Mike Westmacott , died last June .",19,1,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'last june__75__84': 17, '1953__40__44': 17, 'june__80__84': 11, '1984__19__23': 8})",53,4,20,0.7173657693908075,"Counter({'last june__75__84': 0.8664656188764163, '1953__40__44': 0.8640131552920811, 'june__80__84': 0.5727463377980917, '1984__19__23': 0.42993253302260326})",0.701950344754494,"Counter({'last june__75__84': 0.85, '1953__40__44': 0.85, 'june__80__84': 0.55, '1984__19__23': 0.4})",june__80__84,11,0.5727463377980917,0.55,0.0
91.55,1984__19__23###last June__75__84###1953__40__44###June__80__84,bbc_20130322_1150,"the last british climbing member of the 1953 team , mike westmacott , died last june .","The last British climbing member of the 1953 team , Mike Westmacott , died last June .",19,1,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'last june__75__84': 17, '1953__40__44': 17, 'june__80__84': 11, '1984__19__23': 8})",53,4,20,0.7173657693908075,"Counter({'last june__75__84': 0.8664656188764163, '1953__40__44': 0.8640131552920811, 'june__80__84': 0.5727463377980917, '1984__19__23': 0.42993253302260326})",0.701950344754494,"Counter({'last june__75__84': 0.85, '1953__40__44': 0.85, 'june__80__84': 0.55, '1984__19__23': 0.4})",no_time,0,0.0,0.0,0.0
40.9,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'1995__23__27': 18, '100 days__106__114': 16, '99th day__142__150': 13, 'the 99th day__138__150': 11, 'day__147__150': 10, 'days__110__114': 9, '100__106__109': 5})",82,7,20,0.6462746029890171,"Counter({'1995__23__27': 0.9094625807346033, '100 days__106__114': 0.8243277377592588, '99th day__142__150': 0.6774829676758201, 'the 99th day__138__150': 0.5825935589156569, 'day__147__150': 0.521154248124364, 'days__110__114': 0.4868514725181329, '100__106__109': 0.2681771338920702})",0.6261928015789922,"Counter({'1995__23__27': 0.9, '100 days__106__114': 0.8, '99th day__142__150': 0.65, 'the 99th day__138__150': 0.55, 'day__147__150': 0.5, 'days__110__114': 0.45, '100__106__109': 0.25})",1995__23__27,18,0.9094625807346032,0.9,1.0
40.9,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'1995__23__27': 18, '100 days__106__114': 16, '99th day__142__150': 13, 'the 99th day__138__150': 11, 'day__147__150': 10, 'days__110__114': 9, '100__106__109': 5})",82,7,20,0.6462746029890171,"Counter({'1995__23__27': 0.9094625807346033, '100 days__106__114': 0.8243277377592588, '99th day__142__150': 0.6774829676758201, 'the 99th day__138__150': 0.5825935589156569, 'day__147__150': 0.521154248124364, 'days__110__114': 0.4868514725181329, '100__106__109': 0.2681771338920702})",0.6261928015789922,"Counter({'1995__23__27': 0.9, '100 days__106__114': 0.8, '99th day__142__150': 0.65, 'the 99th day__138__150': 0.55, 'day__147__150': 0.5, 'days__110__114': 0.45, '100__106__109': 0.25})",100 days__106__114,16,0.8243277377592588,0.8,1.0
40.9,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'1995__23__27': 18, '100 days__106__114': 16, '99th day__142__150': 13, 'the 99th day__138__150': 11, 'day__147__150': 10, 'days__110__114': 9, '100__106__109': 5})",82,7,20,0.6462746029890171,"Counter({'1995__23__27': 0.9094625807346033, '100 days__106__114': 0.8243277377592588, '99th day__142__150': 0.6774829676758201, 'the 99th day__138__150': 0.5825935589156569, 'day__147__150': 0.521154248124364, 'days__110__114': 0.4868514725181329, '100__106__109': 0.2681771338920702})",0.6261928015789922,"Counter({'1995__23__27': 0.9, '100 days__106__114': 0.8, '99th day__142__150': 0.65, 'the 99th day__138__150': 0.55, 'day__147__150': 0.5, 'days__110__114': 0.45, '100__106__109': 0.25})",the 99th day__138__150,11,0.5825935589156569,0.55,1.0
40.9,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'1995__23__27': 18, '100 days__106__114': 16, '99th day__142__150': 13, 'the 99th day__138__150': 11, 'day__147__150': 10, 'days__110__114': 9, '100__106__109': 5})",82,7,20,0.6462746029890171,"Counter({'1995__23__27': 0.9094625807346033, '100 days__106__114': 0.8243277377592588, '99th day__142__150': 0.6774829676758201, 'the 99th day__138__150': 0.5825935589156569, 'day__147__150': 0.521154248124364, 'days__110__114': 0.4868514725181329, '100__106__109': 0.2681771338920702})",0.6261928015789922,"Counter({'1995__23__27': 0.9, '100 days__106__114': 0.8, '99th day__142__150': 0.65, 'the 99th day__138__150': 0.55, 'day__147__150': 0.5, 'days__110__114': 0.45, '100__106__109': 0.25})",day__147__150,10,0.5211542481243641,0.5,0.0
40.9,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'1995__23__27': 18, '100 days__106__114': 16, '99th day__142__150': 13, 'the 99th day__138__150': 11, 'day__147__150': 10, 'days__110__114': 9, '100__106__109': 5})",82,7,20,0.6462746029890171,"Counter({'1995__23__27': 0.9094625807346033, '100 days__106__114': 0.8243277377592588, '99th day__142__150': 0.6774829676758201, 'the 99th day__138__150': 0.5825935589156569, 'day__147__150': 0.521154248124364, 'days__110__114': 0.4868514725181329, '100__106__109': 0.2681771338920702})",0.6261928015789922,"Counter({'1995__23__27': 0.9, '100 days__106__114': 0.8, '99th day__142__150': 0.65, 'the 99th day__138__150': 0.55, 'day__147__150': 0.5, 'days__110__114': 0.45, '100__106__109': 0.25})",99th day__142__150,13,0.6774829676758201,0.65,0.0
40.9,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'1995__23__27': 18, '100 days__106__114': 16, '99th day__142__150': 13, 'the 99th day__138__150': 11, 'day__147__150': 10, 'days__110__114': 9, '100__106__109': 5})",82,7,20,0.6462746029890171,"Counter({'1995__23__27': 0.9094625807346033, '100 days__106__114': 0.8243277377592588, '99th day__142__150': 0.6774829676758201, 'the 99th day__138__150': 0.5825935589156569, 'day__147__150': 0.521154248124364, 'days__110__114': 0.4868514725181329, '100__106__109': 0.2681771338920702})",0.6261928015789922,"Counter({'1995__23__27': 0.9, '100 days__106__114': 0.8, '99th day__142__150': 0.65, 'the 99th day__138__150': 0.55, 'day__147__150': 0.5, 'days__110__114': 0.45, '100__106__109': 0.25})",100__106__109,5,0.2681771338920702,0.25,0.0
40.9,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'1995__23__27': 18, '100 days__106__114': 16, '99th day__142__150': 13, 'the 99th day__138__150': 11, 'day__147__150': 10, 'days__110__114': 9, '100__106__109': 5})",82,7,20,0.6462746029890171,"Counter({'1995__23__27': 0.9094625807346033, '100 days__106__114': 0.8243277377592588, '99th day__142__150': 0.6774829676758201, 'the 99th day__138__150': 0.5825935589156569, 'day__147__150': 0.521154248124364, 'days__110__114': 0.4868514725181329, '100__106__109': 0.2681771338920702})",0.6261928015789922,"Counter({'1995__23__27': 0.9, '100 days__106__114': 0.8, '99th day__142__150': 0.65, 'the 99th day__138__150': 0.55, 'day__147__150': 0.5, 'days__110__114': 0.45, '100__106__109': 0.25})",days__110__114,9,0.4868514725181329,0.45,0.0
40.9,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'1995__23__27': 18, '100 days__106__114': 16, '99th day__142__150': 13, 'the 99th day__138__150': 11, 'day__147__150': 10, 'days__110__114': 9, '100__106__109': 5})",82,7,20,0.6462746029890171,"Counter({'1995__23__27': 0.9094625807346033, '100 days__106__114': 0.8243277377592588, '99th day__142__150': 0.6774829676758201, 'the 99th day__138__150': 0.5825935589156569, 'day__147__150': 0.521154248124364, 'days__110__114': 0.4868514725181329, '100__106__109': 0.2681771338920702})",0.6261928015789922,"Counter({'1995__23__27': 0.9, '100 days__106__114': 0.8, '99th day__142__150': 0.65, 'the 99th day__138__150': 0.55, 'day__147__150': 0.5, 'days__110__114': 0.45, '100__106__109': 0.25})",no_time,0,0.0,0.0,0.0
34.85,2003__25__29,bbc_20130322_332,it invested in tnk-bp in 2003 .,It invested in TNK-BP in 2003 .,3,1,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,Counter({'2003__25__29': 20}),20,1,20,1.0,Counter({'2003__25__29': 1.0}),1.0,Counter({'2003__25__29': 1.0}),2003__25__29,20,1.0,1.0,1.0
34.85,2003__25__29,bbc_20130322_332,it invested in tnk-bp in 2003 .,It invested in TNK-BP in 2003 .,3,1,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,Counter({'2003__25__29': 20}),20,1,20,1.0,Counter({'2003__25__29': 1.0}),1.0,Counter({'2003__25__29': 1.0}),no_time,0,0.0,0.0,0.0
30.1,2003__6__10,bbc_20130322_332,"`` in 2003 bp invested around $ 8bn in cash , shares and assets in the formation of tnk-bp , '' the oil giant said .","`` In 2003 BP invested around $ 8bn in cash , shares and assets in the formation of TNK-BP , '' the oil giant said .",7,1,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,Counter({'2003__6__10': 20}),20,1,20,1.0,Counter({'2003__6__10': 1.0}),1.0,Counter({'2003__6__10': 1.0}),2003__6__10,20,1.0,1.0,1.0
30.1,2003__6__10,bbc_20130322_332,"`` in 2003 bp invested around $ 8bn in cash , shares and assets in the formation of tnk-bp , '' the oil giant said .","`` In 2003 BP invested around $ 8bn in cash , shares and assets in the formation of TNK-BP , '' the oil giant said .",7,1,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,Counter({'2003__6__10': 20}),20,1,20,1.0,Counter({'2003__6__10': 1.0}),1.0,Counter({'2003__6__10': 1.0}),no_time,0,0.0,0.0,0.0
31.45,2005__132__136,bbc_20130322_1150,"dr lewis-jones , the former curator at the scott polar research institute at the university of cambridge , who first met mr lowe in 2005 , called him a `` hero '' .","Dr Lewis-Jones , the former curator at the Scott Polar Research Institute at the University of Cambridge , who first met Mr Lowe in 2005 , called him a `` hero '' .",13,1,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,Counter({'2005__132__136': 20}),20,1,20,1.0,Counter({'2005__132__136': 1.0}),1.0,Counter({'2005__132__136': 1.0}),2005__132__136,20,1.0,1.0,1.0
31.45,2005__132__136,bbc_20130322_1150,"dr lewis-jones , the former curator at the scott polar research institute at the university of cambridge , who first met mr lowe in 2005 , called him a `` hero '' .","Dr Lewis-Jones , the former curator at the Scott Polar Research Institute at the University of Cambridge , who first met Mr Lowe in 2005 , called him a `` hero '' .",13,1,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,Counter({'2005__132__136': 20}),20,1,20,1.0,Counter({'2005__132__136': 1.0}),1.0,Counter({'2005__132__136': 1.0}),no_time,0,0.0,0.0,0.0
118.85,2005__132__136###former__21__27,bbc_20130322_1150,"`` i do n't often use that word but then it is not very often that you get to meet one , '' he said .","`` I do n't often use that word but then it is not very often that you get to meet one , '' he said .",14,0,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'no_time': 12, 'former__21__27': 7, '2005__132__136': 6})",25,3,20,0.4623619848634546,"Counter({'no_time': 0.5949318386328124, 'former__21__27': 0.36429301200221603, '2005__132__136': 0.3142061065350975})",0.4610873774620958,"Counter({'no_time': 0.6, 'former__21__27': 0.35, '2005__132__136': 0.3})",2005__132__136,6,0.3142061065350975,0.3,0.0
118.85,2005__132__136###former__21__27,bbc_20130322_1150,"`` i do n't often use that word but then it is not very often that you get to meet one , '' he said .","`` I do n't often use that word but then it is not very often that you get to meet one , '' he said .",14,0,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'no_time': 12, 'former__21__27': 7, '2005__132__136': 6})",25,3,20,0.4623619848634546,"Counter({'no_time': 0.5949318386328124, 'former__21__27': 0.36429301200221603, '2005__132__136': 0.3142061065350975})",0.4610873774620958,"Counter({'no_time': 0.6, 'former__21__27': 0.35, '2005__132__136': 0.3})",former__21__27,7,0.364293012002216,0.35,0.0
118.85,2005__132__136###former__21__27,bbc_20130322_1150,"`` i do n't often use that word but then it is not very often that you get to meet one , '' he said .","`` I do n't often use that word but then it is not very often that you get to meet one , '' he said .",14,0,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'no_time': 12, 'former__21__27': 7, '2005__132__136': 6})",25,3,20,0.4623619848634546,"Counter({'no_time': 0.5949318386328124, 'former__21__27': 0.36429301200221603, '2005__132__136': 0.3142061065350975})",0.4610873774620958,"Counter({'no_time': 0.6, 'former__21__27': 0.35, '2005__132__136': 0.3})",no_time,12,0.5949318386328124,0.6,0.0
