Doc Id,Sentence Id,Sentence,Lowercase Sentence,#Tokens,Stanford POS Tag,Stanford Lemma,Stanford Lower Lemma,#POS Tags,#Lemmas,#Events,#Time Expressions,All Runs Times
CNN_20130322_1003,14,"Raymond Roth 's attorney , Brian Davis , denied in August that Roth had involved his son in the scheme .","raymond roth 's attorney , brian davis , denied in august that roth had involved his son in the scheme .",21,"NNP NNP POS NN , NNP NNP , VBD IN NNP WDT NNP VBD VBN PRP$ NN IN DT NN .","Raymond Roth 's attorney , Brian Davis , deny in August that Roth have involve he son in the scheme .","raymond roth 's attorney , brian davis , deny in august that roth have involve he son in the scheme .",21,21,2,1,August__51__57
CNN_20130322_1003,15,"`` We had issues concerning the facts people had whether -LRB- Roth -RRB- had an agreement with his son , '' Davis told CNN on Thursday .","`` we had issues concerning the facts people had whether -lrb- roth -rrb- had an agreement with his son , '' davis told cnn on thursday .",27,"`` PRP VBD NNS VBG DT NNS NNS VBD IN -LRB- NNP -RRB- VBD DT NN IN PRP$ NN , '' NNP VBD NNP IN NNP .","`` we have issue concern the fact people have whether -lrb- Roth -rrb- have a agreement with he son , '' Davis tell CNN on Thursday .","`` we have issue concern the fact people have whether -lrb- roth -rrb- have a agreement with he son , '' davis tell cnn on thursday .",27,27,3,1,Thursday__127__135###Thursday .__127__137
CNN_20130322_1003,16,`` He 's admitted it now .,`` he 's admitted it now .,7,`` PRP VBZ VBN PRP RB .,`` he be admit it now .,`` he be admit it now .,7,7,1,1,now__21__24
CNN_20130322_1003,17,He 's accepted responsibility . '',he 's accepted responsibility . '',6,PRP VBZ VBN NN . '',he be accept responsibility . '',he be accept responsibility . '',6,6,1,0,
CNN_20130322_1003,18,Davis added that his client has been under treatment for bipolar disorder in recent weeks .,davis added that his client has been under treatment for bipolar disorder in recent weeks .,16,NNP VBD IN PRP$ NN VBZ VBN IN NN IN JJ NN IN JJ NNS .,Davis add that he client have be under treatment for bipolar disorder in recent week .,davis add that he client have be under treatment for bipolar disorder in recent week .,16,16,2,1,recent weeks__77__89
CNN_20130322_1003,19,"During plea negotiations , Raymond Roth asked the district attorney 's office not to give his son jail time , Davis said .","during plea negotiations , raymond roth asked the district attorney 's office not to give his son jail time , davis said .",23,"IN NN NNS , NNP NNP VBD DT NN NN POS NN RB TO VB PRP$ NN NN NN , NNP VBD .","during plea negotiation , Raymond Roth ask the district attorney 's office not to give he son jail time , Davis say .","during plea negotiation , raymond roth ask the district attorney 's office not to give he son jail time , davis say .",23,23,4,0,
CNN_20130322_1003,20,"On the advice of both their attorneys , father and son have not been in contact since their arrests , Davis said .","on the advice of both their attorneys , father and son have not been in contact since their arrests , davis said .",23,"IN DT NN IN DT PRP$ NNS , NN CC NN VBP RB VBN IN NN IN PRP$ NNS , NNP VBD .","on the advice of both they attorney , father and son have not be in contact since they arrest , Davis say .","on the advice of both they attorney , father and son have not be in contact since they arrest , davis say .",23,23,3,0,
CNN_20130322_1003,21,"`` He would like to straighten things out with -LRB- Jonathan -RRB- when the time comes , '' he said .","`` he would like to straighten things out with -lrb- jonathan -rrb- when the time comes , '' he said .",21,"`` PRP MD VB TO VB NNS RP IN -LRB- NNP -RRB- WRB DT NN VBZ , '' PRP VBD .","`` he would like to straighten thing out with -lrb- Jonathan -rrb- when the time come , '' he say .","`` he would like to straighten thing out with -lrb- jonathan -rrb- when the time come , '' he say .",21,21,4,0,
WSJ_20130322_804,0,"Health insurers are privately warning brokers that premiums for many individuals and small businesses could increase sharply next year because of the health-care overhaul law , with the nation 's biggest firm projecting that rates could more than double for some consumers buying their own plans .","health insurers are privately warning brokers that premiums for many individuals and small businesses could increase sharply next year because of the health-care overhaul law , with the nation 's biggest firm projecting that rates could more than double for some consumers buying their own plans .",47,"NNP NNS VBP RB VBG NNS WDT NNS IN JJ NNS CC JJ NNS MD VB RB JJ NN IN IN DT NN NN NN , IN DT NN POS JJS NN VBG IN NNS MD RBR IN JJ IN DT NNS VBG PRP$ JJ NNS .","Health insurer be privately warn broker that premium for many individual and small business could increase sharply next year because of the health-care overhaul law , with the nation 's biggest firm project that rate could more than double for some consumer buy they own plan .","health insurer be privately warn broker that premium for many individual and small business could increase sharply next year because of the health-care overhaul law , with the nation 's biggest firm project that rate could more than double for some consumer buy they own plan .",47,47,4,1,next year__125__134
WSJ_20130322_804,1,"The projections , made in sessions with brokers and agents , provide some of the most concrete evidence yet of how much insurance companies might increase prices when major provisions of the law kick in next year - a subject of rigorous debate .","the projections , made in sessions with brokers and agents , provide some of the most concrete evidence yet of how much insurance companies might increase prices when major provisions of the law kick in next year - a subject of rigorous debate .",44,"DT NNS , VBN IN NNS IN NNS CC NNS , VBP DT IN DT RBS JJ NN RB IN WRB JJ NN NNS MD VB NNS WRB JJ NNS IN DT NN NN IN JJ NN : DT NN IN JJ NN .","the projection , make in session with broker and agent , provide some of the most concrete evidence yet of how much insurance company might increase price when major provision of the law kick in next year - a subject of rigorous debate .","the projection , make in session with broker and agent , provide some of the most concrete evidence yet of how much insurance company might increase price when major provision of the law kick in next year - a subject of rigorous debate .",44,44,3,1,next year__203__212
WSJ_20130322_804,2,The projected increases are at odds with what the Obama Administration says consumers should be expecting overall in terms of cost .,the projected increases are at odds with what the obama administration says consumers should be expecting overall in terms of cost .,22,DT VBN NNS VBP IN NNS IN WP DT NNP NNP VBZ NNS MD VB VBG JJ IN NNS IN NN .,the project increase be at odds with what the Obama Administration say consumer should be expect overall in term of cost .,the project increase be at odds with what the obama administration say consumer should be expect overall in term of cost .,22,22,3,0,
WSJ_20130322_804,3,"The Department of Health and Human Services says that the law will '' make health-care coverage more affordable and accessible , '' pointing to a 2009 analysis by the Congressional Budget Office that says average individual premiums , on an apples-to-apples basis , would be lower .","the department of health and human services says that the law will '' make health-care coverage more affordable and accessible , '' pointing to a 2009 analysis by the congressional budget office that says average individual premiums , on an apples-to-apples basis , would be lower .",47,"DT NNP IN NNP CC NNP NNP VBZ IN DT NN MD '' VB NN NN RBR JJ CC JJ , '' VBG TO DT CD NN IN DT NNP NNP NNP WDT VBZ JJ JJ NNS , IN DT JJ NN , MD VB JJR .","the Department of Health and Human Services say that the law will '' make health-care coverage more affordable and accessible , '' point to a 2009 analysis by the Congressional Budget Office that say average individual premium , on a apples-to-apples basis , would be lower .","the department of health and human services say that the law will '' make health-care coverage more affordable and accessible , '' point to a 2009 analysis by the congressional budget office that say average individual premium , on a apples-to-apples basis , would be lower .",47,47,7,1,2009__146__150
WSJ_20130322_804,4,The gulf between the pricing talk from some insurers and the government projections suggests how complicated the law 's effects will be .,the gulf between the pricing talk from some insurers and the government projections suggests how complicated the law 's effects will be .,23,DT NN IN DT NN NN IN DT NNS CC DT NN NNS VBZ WRB VBN DT NN POS NNS MD VB .,the gulf between the pricing talk from some insurer and the government projection suggest how complicate the law 's effect will be .,the gulf between the pricing talk from some insurer and the government projection suggest how complicate the law 's effect will be .,23,23,2,0,
WSJ_20130322_804,5,Carriers will be filing proposed prices with regulators over the next few months .,carriers will be filing proposed prices with regulators over the next few months .,14,NNS MD VB VBG JJ NNS IN NNS IN DT JJ JJ NNS .,carrier will be file proposed price with regulator over the next few month .,carrier will be file proposed price with regulator over the next few month .,14,14,1,1,the next few months__61__80###over the next few months__56__80
WSJ_20130322_804,6,Part of the murkiness stems from the role of government subsidies .,part of the murkiness stems from the role of government subsidies .,12,NN IN DT NN VBZ IN DT NN IN NN NNS .,part of the murkiness stem from the role of government subsidy .,part of the murkiness stem from the role of government subsidy .,12,12,1,0,
WSJ_20130322_804,7,"Federal subsidies under the health law will help lower-income consumers defray costs , but they are generally not included in insurers ' premium projections .","federal subsidies under the health law will help lower-income consumers defray costs , but they are generally not included in insurers ' premium projections .",25,"NNP NNS IN DT NN NN MD VB JJ NNS VBP NNS , CC PRP VBP RB RB VBN IN NNS POS NN NNS .","Federal subsidy under the health law will help lower-income consumer defray cost , but they be generally not include in insurer ' premium projection .","federal subsidy under the health law will help lower-income consumer defray cost , but they be generally not include in insurer ' premium projection .",25,25,2,0,
WSJ_20130322_804,8,Many consumers will be getting more generous plans because of new requirements in the law .,many consumers will be getting more generous plans because of new requirements in the law .,16,JJ NNS MD VB VBG RBR JJ NNS IN IN JJ NNS IN DT NN .,many consumer will be get more generous plan because of new requirement in the law .,many consumer will be get more generous plan because of new requirement in the law .,16,16,1,0,
WSJ_20130322_804,9,"The effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down .","the effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down .",28,"DT NNS IN DT NN MD VB RB , CC NNS CC JJ NNS VBP IN DT NNS CC JJ NNS MD RB VB NNS VB RB .","the effect of the law will vary widely , and insurer and other analyst agree that some consumer and small business will likely see premium go down .","the effect of the law will vary widely , and insurer and other analyst agree that some consumer and small business will likely see premium go down .",28,28,3,0,
WSJ_20130322_804,10,"Starting next year , the law will block insurers from refusing to sell coverage or setting premiums based on people 's health histories , and will reduce their ability to set rates based on age .","starting next year , the law will block insurers from refusing to sell coverage or setting premiums based on people 's health histories , and will reduce their ability to set rates based on age .",36,"VBG JJ NN , DT NN MD VB NNS IN VBG TO VB NN CC VBG NNS VBN IN NNS POS NN NNS , CC MD VB PRP$ NN TO VB NNS VBN IN NN .","start next year , the law will block insurer from refuse to sell coverage or set premium base on people 's health history , and will reduce they ability to set rate base on age .","start next year , the law will block insurer from refuse to sell coverage or set premium base on people 's health history , and will reduce they ability to set rate base on age .",36,36,6,1,next year__9__18
WSJ_20130322_804,11,"That can raise coverage prices for younger , healthier consumers , while reining them in for older , sicker ones .","that can raise coverage prices for younger , healthier consumers , while reining them in for older , sicker ones .",21,"DT MD VB NN NNS IN JJR , JJR NNS , IN VBG PRP IN IN JJR , JJR NNS .","that can raise coverage price for younger , healthier consumer , while rein they in for older , sicker one .","that can raise coverage price for younger , healthier consumer , while rein they in for older , sicker one .",21,21,2,0,
WSJ_20130322_804,12,"The rules can also affect small businesses , which sometimes pay premiums tied to employees ' health status and claims history .","the rules can also affect small businesses , which sometimes pay premiums tied to employees ' health status and claims history .",22,"DT NNS MD RB VB JJ NNS , WDT RB VBP NNS VBN TO NNS POS NN NN CC VBZ NN .","the rule can also affect small business , which sometimes pay premium tie to employee ' health status and claim history .","the rule can also affect small business , which sometimes pay premium tie to employee ' health status and claim history .",22,22,2,0,
bbc_20130322_1600,0,"Heavy snow is causing disruption to transport across the UK , with heavy rainfall bringing flooding to the south-west of England .","heavy snow is causing disruption to transport across the uk , with heavy rainfall bringing flooding to the south-west of england .",22,"JJ NN VBZ VBG NN TO VB IN DT NNP , IN JJ NNS VBG NN TO DT NN IN NNP .","heavy snow be cause disruption to transport across the UK , with heavy rainfall bring flooding to the south-west of England .","heavy snow be cause disruption to transport across the uk , with heavy rainfall bring flooding to the south-west of england .",22,22,6,0,
bbc_20130322_1600,1,"Rescuers searching for a woman trapped in a landslide at her home in Looe , Cornwall , said they had found a body .","rescuers searching for a woman trapped in a landslide at her home in looe , cornwall , said they had found a body .",24,"NNS VBG IN DT NN VBN IN DT NN IN PRP$ NN IN NNP , NNP , VBD PRP VBD VBN DT NN .","rescuer search for a woman trap in a landslide at she home in Looe , Cornwall , say they have find a body .","rescuer search for a woman trap in a landslide at she home in looe , cornwall , say they have find a body .",24,24,4,0,
bbc_20130322_1600,2,"Over 200,000 Belfast customers were affected by a blackout but power is starting to be restored .","over 200,000 belfast customers were affected by a blackout but power is starting to be restored .",17,IN CD NNP NNS VBD VBN IN DT NN CC NN VBZ VBG TO VB VBN .,"over 200,000 Belfast customer be affect by a blackout but power be start to be restore .","over 200,000 belfast customer be affect by a blackout but power be start to be restore .",17,17,4,0,
bbc_20130322_1600,3,Northern Ireland 's World Cup qualifier with Russia has been postponed until 15:00 GMT Saturday due to heavy snow .,northern ireland 's world cup qualifier with russia has been postponed until 15:00 gmt saturday due to heavy snow .,20,JJ NNP POS NNP NNP NN IN NNP VBZ VBN VBN IN CD NNP NNP JJ TO JJ NN .,northern Ireland 's World Cup qualifier with Russia have be postpone until 15:00 GMT Saturday due to heavy snow .,northern ireland 's world cup qualifier with russia have be postpone until 15:00 gmt saturday due to heavy snow .,20,20,2,1,Saturday__87__95###15:00__77__82###GMT__83__86###15:00 GMT Saturday__77__95
bbc_20130322_1600,4,"There are 12 flood warnings in the South West , with Met Office warnings for snow covering much of the UK .","there are 12 flood warnings in the south west , with met office warnings for snow covering much of the uk .",22,"EX VBP CD NN NNS IN DT NNP NNP , IN NNP NNP NNS IN NN VBG RB IN DT NNP .","there be 12 flood warning in the South West , with Met Office warning for snow cover much of the UK .","there be 12 flood warning in the south west , with met office warning for snow cover much of the uk .",22,22,1,0,
bbc_20130322_1600,5,This comes just over a week before the start of British Summer Time .,this comes just over a week before the start of british summer time .,14,DT VBZ RB IN DT NN IN DT NN IN JJ NN NN .,this come just over a week before the start of british summer time .,this come just over a week before the start of british summer time .,14,14,3,1,a week__21__27###Summer__56__62###over a week__16__27
bbc_20130322_1600,6,"BBC forecasters said the snow would cause travel disruption across northern parts of the UK on Friday , with some 20cm-40cm -LRB- 8in-16in -RRB- falling in places .","bbc forecasters said the snow would cause travel disruption across northern parts of the uk on friday , with some 20cm-40cm -lrb- 8in-16in -rrb- falling in places .",28,"NNP NNS VBD DT NN MD VB NN NN IN JJ NNS IN DT NNP IN NNP , IN DT JJ -LRB- JJ -RRB- VBG IN NNS .","BBC forecaster say the snow would cause travel disruption across northern part of the UK on Friday , with some 20cm-40cm -lrb- 8in-16in -rrb- fall in place .","bbc forecaster say the snow would cause travel disruption across northern part of the uk on friday , with some 20cm-40cm -lrb- 8in-16in -rrb- fall in place .",28,28,4,1,Friday__95__101
bbc_20130322_1600,7,"Atrocious conditions could be expected on high ground , they said .","atrocious conditions could be expected on high ground , they said .",12,"JJ NNS MD VB VBN IN JJ NN , PRP VBD .","atrocious condition could be expect on high ground , they say .","atrocious condition could be expect on high ground , they say .",12,12,2,0,
bbc_20130322_1600,8,"Roads in northern parts of Wales , the Midlands into the Pennines , southern Scotland and Northern Ireland would be the worst affected , while gale force winds would blow snow and drifts across trans-Pennine routes , they added .","roads in northern parts of wales , the midlands into the pennines , southern scotland and northern ireland would be the worst affected , while gale force winds would blow snow and drifts across trans-pennine routes , they added .",40,"NNS IN JJ NNS IN NNP , DT NNPS IN DT NNP , JJ NNP CC NNP NNP MD VB DT JJS VBN , IN NN NN NNS MD VB NN CC VBZ IN JJ NNS , PRP VBD .","road in northern part of Wales , the Midlands into the Pennines , southern Scotland and Northern Ireland would be the worst affect , while gale force wind would blow snow and drift across trans-pennine route , they add .","road in northern part of wales , the midlands into the pennines , southern scotland and northern ireland would be the worst affect , while gale force wind would blow snow and drift across trans-pennine route , they add .",40,40,4,0,
AP_20130322,0,"The flu season is winding down , and it has killed 105 children so far - about the average toll .","the flu season is winding down , and it has killed 105 children so far - about the average toll .",21,"DT NN NN VBZ VBG RP , CC PRP VBZ VBN CD NNS RB RB : IN DT NN NN .","the flu season be wind down , and it have kill 105 child so far - about the average toll .","the flu season be wind down , and it have kill 105 child so far - about the average toll .",21,21,2,0,
AP_20130322,1,"The season started about a month earlier than usual , sparking concerns it might turn into the worst in a decade .","the season started about a month earlier than usual , sparking concerns it might turn into the worst in a decade .",22,"DT NN VBD IN DT NN RBR IN JJ , VBG NNS PRP MD VB IN DT JJS IN DT NN .","the season start about a month earlier than usual , spark concern it might turn into the worst in a decade .","the season start about a month earlier than usual , spark concern it might turn into the worst in a decade .",22,22,3,2,"month__27__32###a month__25__32###a decade__104__112###season__4__10###a month earlier__25__40###a month earlier than__25__45###about a month earlier__19__40###a decade .__104__114###a month earlier than usual , sparking concerns it might turn into the worst in a decade__25__112###a__104__105"
