Doc Id,Sentence Id,Sentence,Lowercase Sentence,#Tokens,Stanford POS Tag,Stanford Lemma,Stanford Lower Lemma,#POS Tags,#Lemmas,#Events,#Time Expressions
wsj_0752,0,"AEP INDUSTRIES Inc. directors authorized a 3-for-2 split of the common , payable Dec. 7 to stock of record Nov. 22 .","aep industries inc. directors authorized a 3-for-2 split of the common , payable dec. 7 to stock of record nov. 22 .",22,"NNP NNPS NNP NNS VBD DT JJ NN IN DT JJ , JJ NNP CD TO NN IN NN NNP CD .","AEP INDUSTRIES Inc. director authorize a 3-for-2 split of the common , payable Dec. 7 to stock of record Nov. 22 .","aep industries inc. director authorize a 3-for-2 split of the common , payable dec. 7 to stock of record nov. 22 .",22,22,2,2.0
wsj_0752,1,"The split was aimed at boosting the stock 's liquidity , said Brendan Barba , chairman of the Moonachie , N.J. , maker of plastic film products .","the split was aimed at boosting the stock 's liquidity , said brendan barba , chairman of the moonachie , n.j. , maker of plastic film products .",28,"DT NN VBD VBN IN VBG DT NN POS NN , VBD NNP NNP , NN IN DT NNP , NNP , NN IN NN NN NNS .","the split be aim at boost the stock 's liquidity , say Brendan Barba , chairman of the Moonachie , N.J. , maker of plastic film product .","the split be aim at boost the stock 's liquidity , say brendan barba , chairman of the moonachie , n.j. , maker of plastic film product .",28,28,4,0.0
wsj_0752,2,"After the split , the company will have more than 4.7 million shares outstanding .","after the split , the company will have more than 4.7 million shares outstanding .",15,"IN DT NN , DT NN MD VB JJR IN CD CD NNS JJ .","after the split , the company will have more than 4.7 million share outstanding .","after the split , the company will have more than 4.7 million share outstanding .",15,15,2,0.0
wsj_0752,3,"In national over-the-counter trading yesterday , AEP shares closed at $ 21.25 , down 50 cents .","in national over-the-counter trading yesterday , aep shares closed at $ 21.25 , down 50 cents .",17,"IN JJ JJ NN NN , NNP NNS VBD IN $ CD , RB CD NNS .","in national over-the-counter trading yesterday , AEP share close at $ 21.25 , down 50 cent .","in national over-the-counter trading yesterday , aep share close at $ 21.25 , down 50 cent .",17,17,2,1.0
wsj_0356,0,Rally 's Inc. said it adopted a shareholders rights plan to protect shareholders from an inadequately priced takeover offer .,rally 's inc. said it adopted a shareholders rights plan to protect shareholders from an inadequately priced takeover offer .,20,NNP POS NNP VBD PRP VBD DT NNS NNS NN TO VB NNS IN DT RB VBN NN NN .,Rally 's Inc. say it adopt a shareholder rights plan to protect shareholder from a inadequately price takeover offer .,rally 's inc. say it adopt a shareholder rights plan to protect shareholder from a inadequately price takeover offer .,20,20,3,0.0
wsj_0356,1,The plan provides for the distribution of one common stock-purchase right as a dividend for each share of common outstanding .,the plan provides for the distribution of one common stock-purchase right as a dividend for each share of common outstanding .,21,DT NN VBZ IN DT NN IN CD JJ JJ NN IN DT NN IN DT NN IN JJ JJ .,the plan provide for the distribution of one common stock-purchase right as a dividend for each share of common outstanding .,the plan provide for the distribution of one common stock-purchase right as a dividend for each share of common outstanding .,21,21,0,0.0
wsj_0356,2,Each right entitles shareholders to buy one-half share of common for $ 30 .,each right entitles shareholders to buy one-half share of common for $ 30 .,14,DT NN VBZ NNS TO VB JJ NN IN JJ IN $ CD .,each right entitle shareholder to buy one-half share of common for $ 30 .,each right entitle shareholder to buy one-half share of common for $ 30 .,14,14,0,0.0
wsj_0356,3,"Earlier this month , a group led by three of the company 's directors , Burt Sugarman , James M. Trotter III and Willam E. Trotter II , indicated it had a 45.2 % stake in the Louisville , Ky. , fast-food company and that it planned to seek a majority of seats on Rally 's nine-member board .","earlier this month , a group led by three of the company 's directors , burt sugarman , james m. trotter iii and willam e. trotter ii , indicated it had a 45.2 % stake in the louisville , ky. , fast-food company and that it planned to seek a majority of seats on rally 's nine-member board .",59,"RBR DT NN , DT NN VBN IN CD IN DT NN POS NNS , NNP NNP , NNP NNP NNP NNP CC NNP NNP NNP NNP , VBD PRP VBD DT CD NN NN IN DT NNP , NNP , NN NN CC IN PRP VBD TO VB DT NN IN NNS IN NNP POS JJ NN .","earlier this month , a group lead by three of the company 's director , Burt Sugarman , James M. Trotter III and Willam E. Trotter II , indicate it have a 45.2 % stake in the Louisville , Ky. , fast-food company and that it plan to seek a majority of seat on Rally 's nine-member board .","earlier this month , a group lead by three of the company 's director , burt sugarman , james m. trotter iii and willam e. trotter ii , indicate it have a 45.2 % stake in the louisville , ky. , fast-food company and that it plan to seek a majority of seat on rally 's nine-member board .",59,59,4,1.0
wsj_0356,4,The company said it was '' concerned about the announced intent to acquire control of the company '' by a Sugarman-led group .,the company said it was '' concerned about the announced intent to acquire control of the company '' by a sugarman-led group .,23,DT NN VBD PRP VBD '' VBN IN DT VBN NN TO VB NN IN DT NN '' IN DT JJ NN .,the company say it be '' concern about the announce intent to acquire control of the company '' by a sugarman-led group .,the company say it be '' concern about the announce intent to acquire control of the company '' by a sugarman-led group .,23,23,3,0.0
wsj_0815,0,"Di Giorgio Corp. said it 's continuing talks with potential buyers of certain units , but has reached no agreement on any deals .","di giorgio corp. said it 's continuing talks with potential buyers of certain units , but has reached no agreement on any deals .",24,"NNP NNP NNP VBD PRP VBZ VBG NNS IN JJ NNS IN JJ NNS , CC VBZ VBN DT NN IN DT NNS .","Di Giorgio Corp. say it be continue talk with potential buyer of certain unit , but have reach no agreement on any deal .","di giorgio corp. say it be continue talk with potential buyer of certain unit , but have reach no agreement on any deal .",24,24,5,0.0
wsj_0815,1,"Di Giorgio , a food wholesaler and building products maker , is seeking alternatives to an unsolicited $ 32-a-share tender offer of DIG Acquisition Corp. , a unit of Rose Partners Limited Partnership .","di giorgio , a food wholesaler and building products maker , is seeking alternatives to an unsolicited $ 32-a-share tender offer of dig acquisition corp. , a unit of rose partners limited partnership .",34,"NNP NNP , DT NN NN CC NN NNS NN , VBZ VBG NNS TO DT JJ $ JJ NN NN IN NNP NNP NNP , DT NN IN NNP NNP NNP NNP .","Di Giorgio , a food wholesaler and building product maker , be seek alternative to a unsolicited $ 32-a-share tender offer of DIG Acquisition Corp. , a unit of Rose Partners Limited Partnership .","di giorgio , a food wholesaler and building product maker , be seek alternative to a unsolicited $ 32-a-share tender offer of dig acquisition corp. , a unit of rose partners limited partnership .",34,34,2,0.0
wsj_0815,2,DIG is the vehicle being used to pursue to acquisition .,dig is the vehicle being used to pursue to acquisition .,11,NNP VBZ DT NN VBG VBN TO VB TO NN .,DIG be the vehicle be use to pursue to acquisition .,dig be the vehicle be use to pursue to acquisition .,11,11,3,0.0
wsj_0815,3,"Robert Mellor , Di Giorgio 's executive vice president , said the company stands to reap more money through the sale of individual units to others than by accepting DIG 's offer .","robert mellor , di giorgio 's executive vice president , said the company stands to reap more money through the sale of individual units to others than by accepting dig 's offer .",33,"NNP NNP , NNP NNP POS JJ NN NN , VBD DT NN VBZ TO VB JJR NN IN DT NN IN JJ NNS TO NNS IN IN VBG NNP POS NN .","Robert Mellor , Di Giorgio 's executive vice president , say the company stand to reap more money through the sale of individual unit to other than by accept DIG 's offer .","robert mellor , di giorgio 's executive vice president , say the company stand to reap more money through the sale of individual unit to other than by accept dig 's offer .",33,33,5,0.0
wsj_0168,0,"Meridian National Corp. said it sold 750,000 shares of its common stock to the McAlpine family interests , for $ 1 million , or $ 1.35 a share .","meridian national corp. said it sold 750,000 shares of its common stock to the mcalpine family interests , for $ 1 million , or $ 1.35 a share .",29,"NNP NNP NNP VBD PRP VBD CD NNS IN PRP$ JJ NN TO DT NNP NN NNS , IN $ CD CD , CC $ CD DT NN .","Meridian National Corp. say it sell 750,000 share of its common stock to the McAlpine family interest , for $ 1 million , or $ 1.35 a share .","meridian national corp. say it sell 750,000 share of its common stock to the mcalpine family interest , for $ 1 million , or $ 1.35 a share .",29,29,2,0.0
wsj_0168,1,The sale represents 10.2 % of Meridian 's shares outstanding .,the sale represents 10.2 % of meridian 's shares outstanding .,11,DT NN VBZ CD NN IN NNP POS NNS JJ .,the sale represent 10.2 % of Meridian 's share outstanding .,the sale represent 10.2 % of meridian 's share outstanding .,11,11,2,0.0
wsj_0168,2,"The McAlpine family , which operates a number of multinational companies , including a London-based engineering and construction company , also lent to Meridian National $ 500,000 .","the mcalpine family , which operates a number of multinational companies , including a london-based engineering and construction company , also lent to meridian national $ 500,000 .",28,"DT NNP NN , WDT VBZ DT NN IN JJ NNS , VBG DT JJ NN CC NN NN , RB VBD TO NNP NNP $ CD .","the McAlpine family , which operate a number of multinational company , include a london-based engineering and construction company , also lend to Meridian National $ 500,000 .","the mcalpine family , which operate a number of multinational company , include a london-based engineering and construction company , also lend to meridian national $ 500,000 .",28,28,2,0.0
wsj_0168,3,That amount is convertible into shares of Meridian common stock at $ 2 a share during its one-year term .,that amount is convertible into shares of meridian common stock at $ 2 a share during its one-year term .,20,DT NN VBZ JJ IN NNS IN NNP JJ NN IN $ CD DT NN IN PRP$ JJ NN .,that amount be convertible into share of Meridian common stock at $ 2 a share during its one-year term .,that amount be convertible into share of meridian common stock at $ 2 a share during its one-year term .,20,20,1,1.0
wsj_0168,4,The loan may be extended by the McAlpine group for an additional year with an increase in the conversion price to $ 2.50 a share .,the loan may be extended by the mcalpine group for an additional year with an increase in the conversion price to $ 2.50 a share .,26,DT NN MD VB VBN IN DT NNP NN IN DT JJ NN IN DT NN IN DT NN NN TO $ CD DT NN .,the loan may be extend by the McAlpine group for a additional year with a increase in the conversion price to $ 2.50 a share .,the loan may be extend by the mcalpine group for a additional year with a increase in the conversion price to $ 2.50 a share .,26,26,2,1.0
wsj_0168,5,"The sale of shares to the McAlpine family along with the recent sale of 750,000 shares of Meridian stock to Haden MacLellan Holding PLC of Surrey , England and a recent public offering have increased Meridian 's net worth to $ 8.5 million , said William Feniger , chief executive officer of Toledo , Ohio-based Meridian .","the sale of shares to the mcalpine family along with the recent sale of 750,000 shares of meridian stock to haden maclellan holding plc of surrey , england and a recent public offering have increased meridian 's net worth to $ 8.5 million , said william feniger , chief executive officer of toledo , ohio-based meridian .",57,"DT NN IN NNS TO DT NNP NN IN IN DT JJ NN IN CD NNS IN NNP NN TO NNP NNP NNP NNP IN NNP , NNP CC DT JJ JJ NN VBP VBN NNP POS JJ NN TO $ CD CD , VBD NNP NNP , JJ NN NN IN NNP , JJ NNP .","the sale of share to the McAlpine family along with the recent sale of 750,000 share of Meridian stock to Haden MacLellan Holding PLC of Surrey , England and a recent public offering have increase Meridian 's net worth to $ 8.5 million , say William Feniger , chief executive officer of Toledo , ohio-based Meridian .","the sale of share to the mcalpine family along with the recent sale of 750,000 share of meridian stock to haden maclellan holding plc of surrey , england and a recent public offering have increase meridian 's net worth to $ 8.5 million , say william feniger , chief executive officer of toledo , ohio-based meridian .",57,57,5,0.0
wsj_0169,0,"Ratners Group PLC , a fast-growing , acquisition-minded London-based jeweler , raised its price for Seattle-based specialty jeweler Weisfield 's Inc. to $ 57.50 a share , or $ 62.1 million , from $ 50 a share , or $ 55 million , after another concern said it would be prepared to outbid Ratners 's initial offer .","ratners group plc , a fast-growing , acquisition-minded london-based jeweler , raised its price for seattle-based specialty jeweler weisfield 's inc. to $ 57.50 a share , or $ 62.1 million , from $ 50 a share , or $ 55 million , after another concern said it would be prepared to outbid ratners 's initial offer .",58,"NNP NNP NNP , DT JJ , JJ JJ NN , VBD PRP$ NN IN JJ NN NN NNP POS NNP TO $ CD DT NN , CC $ CD CD , IN $ CD DT NN , CC $ CD CD , IN DT NN VBD PRP MD VB VBN TO VB NNP POS JJ NN .","Ratners Group PLC , a fast-growing , acquisition-minded london-based jeweler , raise its price for seattle-based specialty jeweler Weisfield 's Inc. to $ 57.50 a share , or $ 62.1 million , from $ 50 a share , or $ 55 million , after another concern say it would be prepare to outbid Ratners 's initial offer .","ratners group plc , a fast-growing , acquisition-minded london-based jeweler , raise its price for seattle-based specialty jeweler weisfield 's inc. to $ 57.50 a share , or $ 62.1 million , from $ 50 a share , or $ 55 million , after another concern say it would be prepare to outbid ratners 's initial offer .",58,58,4,0.0
wsj_0169,1,The other concern was n't identified .,the other concern was n't identified .,7,DT JJ NN VBD RB VBN .,the other concern be not identify .,the other concern be not identify .,7,7,0,0.0
wsj_0169,2,"Ratners 's chairman , Gerald Ratner , said the deal remains of `` substantial benefit to Ratners . ''","ratners 's chairman , gerald ratner , said the deal remains of `` substantial benefit to ratners . ''",19,"NNP POS NN , NNP NNP , VBD DT NN VBZ IN `` JJ NN TO NNP . ''","Ratners 's chairman , Gerald Ratner , say the deal remain of `` substantial benefit to Ratners . ''","ratners 's chairman , gerald ratner , say the deal remain of `` substantial benefit to ratners . ''",19,19,1,0.0
wsj_0169,3,"In London at mid-afternoon yesterday , Ratners 's shares were up 2 pence -LRB- 1.26 cents -RRB- , at 260 pence -LRB- $ 1.64 -RRB- .","in london at mid-afternoon yesterday , ratners 's shares were up 2 pence -lrb- 1.26 cents -rrb- , at 260 pence -lrb- $ 1.64 -rrb- .",26,"IN NNP IN JJ NN , NNP POS NNS VBD RB CD NN -LRB- CD NNS -RRB- , IN CD NN -LRB- $ CD -RRB- .","in London at mid-afternoon yesterday , Ratners 's share be up 2 pence -lrb- 1.26 cent -rrb- , at 260 pence -lrb- $ 1.64 -rrb- .","in london at mid-afternoon yesterday , ratners 's share be up 2 pence -lrb- 1.26 cent -rrb- , at 260 pence -lrb- $ 1.64 -rrb- .",26,26,1,1.0
wsj_0169,4,"The sweetened offer has acceptances from more than 50 % of Weisfield 's shareholders , and it is scheduled for completion by Dec. 10 .","the sweetened offer has acceptances from more than 50 % of weisfield 's shareholders , and it is scheduled for completion by dec. 10 .",25,"DT VBN NN VBZ NNS IN JJR IN CD NN IN NNP POS NNS , CC PRP VBZ VBN IN NN IN NNP CD .","the sweeten offer have acceptance from more than 50 % of Weisfield 's shareholder , and it be schedule for completion by Dec. 10 .","the sweeten offer have acceptance from more than 50 % of weisfield 's shareholder , and it be schedule for completion by dec. 10 .",25,25,4,1.0
wsj_0169,5,The acquisition of 87-store Weisfield 's raises Ratners 's U.S. presence to 450 stores .,the acquisition of 87-store weisfield 's raises ratners 's u.s. presence to 450 stores .,15,DT NN IN JJ NNP POS VBZ NNP POS NNP NN TO CD NNS .,the acquisition of 87-store Weisfield 's raise Ratners 's U.S. presence to 450 store .,the acquisition of 87-store weisfield 's raise ratners 's u.s. presence to 450 store .,15,15,2,0.0
wsj_0169,6,About 30 % of Ratners 's profit already is derived from the U.S.,about 30 % of ratners 's profit already is derived from the u.s.,13,IN CD NN IN NNP POS NN RB VBZ VBN IN DT NNP,about 30 % of Ratners 's profit already be derive from the U.S.,about 30 % of ratners 's profit already be derive from the u.s.,13,13,1,1.0
ABC19980120.1830.0957,0,"For his part , Fidel Castro is the ultimate political survivor .","for his part , fidel castro is the ultimate political survivor .",12,"IN PRP$ NN , NNP NNP VBZ DT JJ JJ NN .","for he part , Fidel Castro be the ultimate political survivor .","for he part , fidel castro be the ultimate political survivor .",12,12,0,0.0
ABC19980120.1830.0957,1,"People have predicted his demise so many times , and the US has tried to hasten it on several occasions .","people have predicted his demise so many times , and the us has tried to hasten it on several occasions .",21,"NNS VBP VBN PRP$ NN RB JJ NNS , CC DT NNP VBZ VBN TO VB PRP IN JJ NNS .","people have predict he demise so many time , and the US have try to hasten it on several occasion .","people have predict he demise so many time , and the us have try to hasten it on several occasion .",21,21,4,0.0
ABC19980120.1830.0957,2,"Time and again , he endures .","time and again , he endures .",7,"NNP CC RB , PRP VBZ .","Time and again , he endure .","time and again , he endure .",7,7,1,0.0
ABC19980120.1830.0957,3,He has outlasted and sometimes outsmarted eight American presidents .,he has outlasted and sometimes outsmarted eight american presidents .,10,PRP VBZ VBN CC RB VBD CD JJ NNS .,he have outlast and sometimes outsmart eight american president .,he have outlast and sometimes outsmart eight american president .,10,10,2,0.0
ABC19980120.1830.0957,4,Fidel Castro invited John Paul to come for a reason .,fidel castro invited john paul to come for a reason .,11,NNP NNP VBD NNP NNP TO VB IN DT NN .,Fidel Castro invite John Paul to come for a reason .,fidel castro invite john paul to come for a reason .,11,11,2,0.0
ABC19980120.1830.0957,5,This is clearly an opportunity for Cuba to look good internationally .,this is clearly an opportunity for cuba to look good internationally .,12,DT VBZ RB DT NN IN NNP TO VB JJ RB .,this be clearly a opportunity for Cuba to look good internationally .,this be clearly a opportunity for cuba to look good internationally .,12,12,0,0.0
ABC19980120.1830.0957,6,The entire world will see images of the Pope in Cuba .,the entire world will see images of the pope in cuba .,12,DT JJ NN MD VB NNS IN DT NNP IN NNP .,the entire world will see image of the Pope in Cuba .,the entire world will see image of the pope in cuba .,12,12,1,0.0
ABC19980120.1830.0957,7,They 'll see images of the Pope with Fidel Castro .,they 'll see images of the pope with fidel castro .,11,PRP MD VB NNS IN DT NNP IN NNP NNP .,they will see image of the Pope with Fidel Castro .,they will see image of the pope with fidel castro .,11,11,1,0.0
ABC19980120.1830.0957,8,"It will give the rest of the world the view that Cuba is like any other nation , something the US has , of course , tried to persuade the world that it is not .","it will give the rest of the world the view that cuba is like any other nation , something the us has , of course , tried to persuade the world that it is not .",36,"PRP MD VB DT NN IN DT NN DT NN IN NNP VBZ IN DT JJ NN , NN DT NNP VBZ , IN NN , VBD TO VB DT NN IN PRP VBZ RB .","it will give the rest of the world the view that Cuba be like any other nation , something the US have , of course , try to persuade the world that it be not .","it will give the rest of the world the view that cuba be like any other nation , something the us have , of course , try to persuade the world that it be not .",36,36,3,0.0
ABC19980120.1830.0957,9,"For nearly forty years , the United States has said categorically it would not tolerate totalitarian rule in its own backyard .","for nearly forty years , the united states has said categorically it would not tolerate totalitarian rule in its own backyard .",22,"IN RB CD NNS , DT NNP NNPS VBZ VBN RB PRP MD RB VB JJ NN IN PRP$ JJ NN .","for nearly forty year , the United States have say categorically it would not tolerate totalitarian rule in its own backyard .","for nearly forty year , the united states have say categorically it would not tolerate totalitarian rule in its own backyard .",22,22,2,1.0
ABC19980120.1830.0957,10,It is the US economic and political embargo which has kept Cuba in a box .,it is the us economic and political embargo which has kept cuba in a box .,16,PRP VBZ DT NNP JJ CC JJ NN WDT VBZ VBN NNP IN DT NN .,it be the US economic and political embargo which have keep Cuba in a box .,it be the us economic and political embargo which have keep cuba in a box .,16,16,2,0.0
ABC19980120.1830.0957,11,"The main positive for Castro to invite the Pope is international , to be able to say to the rest of the world , this government is not as closed , as intolerant , uh as totalitarian as some make it out to be .","the main positive for castro to invite the pope is international , to be able to say to the rest of the world , this government is not as closed , as intolerant , uh as totalitarian as some make it out to be .",45,"DT JJ JJ IN NNP TO VB DT NNP VBZ JJ , TO VB JJ TO VB TO DT NN IN DT NN , DT NN VBZ RB IN VBN , IN JJ , UH IN NN IN DT VBP PRP RP TO VB .","the main positive for Castro to invite the Pope be international , to be able to say to the rest of the world , this government be not as close , as intolerant , uh as totalitarian as some make it out to be .","the main positive for castro to invite the pope be international , to be able to say to the rest of the world , this government be not as close , as intolerant , uh as totalitarian as some make it out to be .",45,45,4,0.0
ABC19980120.1830.0957,12,"One of the scenarios widely advanced before the visit is that through the Pope , Cuba , still led by Castro , can begin a more productive relationship with the world .","one of the scenarios widely advanced before the visit is that through the pope , cuba , still led by castro , can begin a more productive relationship with the world .",32,"CD IN DT NNS RB VBD IN DT NN VBZ IN IN DT NNP , NNP , RB VBN IN NNP , MD VB DT RBR JJ NN IN DT NN .","one of the scenario widely advance before the visit be that through the Pope , Cuba , still lead by Castro , can begin a more productive relationship with the world .","one of the scenario widely advance before the visit be that through the pope , cuba , still lead by castro , can begin a more productive relationship with the world .",32,32,4,0.0
ABC19980120.1830.0957,13,"That will , in turn , bring pressure on Washington to change .","that will , in turn , bring pressure on washington to change .",13,"DT MD , IN NN , VB NN IN NNP TO VB .","that will , in turn , bring pressure on Washington to change .","that will , in turn , bring pressure on washington to change .",13,13,2,0.0
ABC19980120.1830.0957,14,"Those observers looking for a battle between uncompromising representatives and very different ideologies will , in all likelihood , be disappointed .","those observers looking for a battle between uncompromising representatives and very different ideologies will , in all likelihood , be disappointed .",22,"DT NNS VBG IN DT NN IN JJ NNS CC RB JJ NNS MD , IN DT NN , VB VBN .","those observer look for a battle between uncompromising representative and very different ideology will , in all likelihood , be disappoint .","those observer look for a battle between uncompromising representative and very different ideology will , in all likelihood , be disappoint .",22,22,3,0.0
ABC19980120.1830.0957,15,Castro has said that you can be a Communist and still be a Christian .,castro has said that you can be a communist and still be a christian .,15,NNP VBZ VBD IN PRP MD VB DT JJ CC RB VB DT NNP .,Castro have say that you can be a communist and still be a Christian .,castro have say that you can be a communist and still be a christian .,15,15,0,0.0
ABC19980120.1830.0957,16,He says he and the Pope both want to end the exploitation of man by man .,he says he and the pope both want to end the exploitation of man by man .,17,PRP VBZ PRP CC DT NNP CC VBP TO VB DT NN IN NN IN NN .,he say he and the Pope both want to end the exploitation of man by man .,he say he and the pope both want to end the exploitation of man by man .,17,17,4,0.0
ABC19980120.1830.0957,17,The question is who will Cubans believe ?,the question is who will cubans believe ?,8,DT NN VBZ WP MD NNPS VB .,the question be who will Cubans believe ?,the question be who will cubans believe ?,8,8,1,0.0
ABC19980120.1830.0957,18,The main negative is the risk that the Pope 's visit will persuade a great many more Cubans to break loose of the Cuban government .,the main negative is the risk that the pope 's visit will persuade a great many more cubans to break loose of the cuban government .,26,DT JJ JJ VBZ DT NN IN DT NNP POS NN MD VB DT JJ JJ JJR NNPS TO VB JJ IN DT JJ NN .,the main negative be the risk that the Pope 's visit will persuade a great many more Cubans to break loose of the cuban government .,the main negative be the risk that the pope 's visit will persuade a great many more cubans to break loose of the cuban government .,26,26,3,0.0
ABC19980120.1830.0957,19,"If so , then the Pope 's visit would really open up a new chapter in the government 's relations with its own society .","if so , then the pope 's visit would really open up a new chapter in the government 's relations with its own society .",25,"IN RB , RB DT NNP POS NN MD RB VB RP DT JJ NN IN DT NN POS NNS IN PRP$ JJ NN .","if so , then the Pope 's visit would really open up a new chapter in the government 's relation with its own society .","if so , then the pope 's visit would really open up a new chapter in the government 's relation with its own society .",25,25,2,0.0
ABC19980120.1830.0957,20,"For the Cuban government , that is the risk .","for the cuban government , that is the risk .",10,"IN DT JJ NN , WDT VBZ DT NN .","for the cuban government , that be the risk .","for the cuban government , that be the risk .",10,10,0,0.0
ABC19980120.1830.0957,21,"At the end of the broadcast this evening , one more trip around Havana to see what it 's been like since the last time .","at the end of the broadcast this evening , one more trip around havana to see what it 's been like since the last time .",26,"IN DT NN IN DT NN DT NN , CD JJR NN RB NNP TO VB WP PRP VBZ VBN IN IN DT JJ NN .","at the end of the broadcast this evening , one more trip around Havana to see what it be be like since the last time .","at the end of the broadcast this evening , one more trip around havana to see what it be be like since the last time .",26,26,0,1.0
ABC19980120.1830.0957,22,And in just a moment Diane Sawyer will have some other news .,and in just a moment diane sawyer will have some other news .,13,CC IN RB DT NN NNP NNP MD VB DT JJ NN .,and in just a moment Diane Sawyer will have some other news .,and in just a moment diane sawyer will have some other news .,13,13,0,0.0
